cp,u,r,f_A,f_B,abs_dr_du
5.13333333,0.00000000,0.49212598,0.45844150,0.34523470,0.19685039
5.20000000,0.00000000,0.48828125,0.45450331,0.34119690,0.19531250
5.26666667,0.00000000,0.48449612,0.45062921,0.33723719,0.19379845
5.33333333,0.00000000,0.48076923,0.44681766,0.33335348,0.19230769
5.40000000,0.00000000,0.47709924,0.44306719,0.32954375,0.19083969
5.46666667,0.00000000,0.47348485,0.43937637,0.32580604,0.18939394
5.53333333,0.00000000,0.46992481,0.43574380,0.32213845,0.18796992
5.60000000,0.00000000,0.46641791,0.43216813,0.31853916,0.18656716
5.66666667,0.00000000,0.46296296,0.42864807,0.31500640,0.18518519
5.73333333,0.00000000,0.45955882,0.42518234,0.31153846,0.18382353
5.80000000,0.00000000,0.45620438,0.42176972,0.30813368,0.18248175
5.86666667,0.00000000,0.45289855,0.41840901,0.30479048,0.18115942
5.93333333,0.00000000,0.44964029,0.41509905,0.30150730,0.17985612
6.00000000,0.00000000,0.44642857,0.41183872,0.29828264,0.17857143
6.06666667,0.00000000,0.44326241,0.40862694,0.29511505,0.17730496
6.13333333,0.00000000,0.44014085,0.40546264,0.29200313,0.17605634
6.20000000,0.00000000,0.43706294,0.40234479,0.28894552,0.17482517
6.26666667,0.00000000,0.43402778,0.39927239,0.28594091,0.17361111
6.33333333,0.00000000,0.43103448,0.39624447,0.28298800,0.17241379
6.40000000,0.00000000,0.42808219,0.39326009,0.28008558,0.17123288
6.46666667,0.00000000,0.42517007,0.39031833,0.27723243,0.17006803
6.53333333,0.00000000,0.42229730,0.38741830,0.27442739,0.16891892
6.60000000,0.00000000,0.41946309,0.38455913,0.27166934,0.16778523
6.66666667,0.00000000,0.41666667,0.38173997,0.26895718,0.16666667
6.73333333,0.00000000,0.41390728,0.37896000,0.26628985,0.16556291
6.80000000,0.00000000,0.41118421,0.37621843,0.26366631,0.16447368
6.86666667,0.00000000,0.40849673,0.37351448,0.26108558,0.16339869
6.93333333,0.00000000,0.40584416,0.37084739,0.25854667,0.16233766
7.00000000,0.00000000,0.40322581,0.36821642,0.25604864,0.16129032
7.06666667,0.00000000,0.40064103,0.36562086,0.25359059,0.16025641
7.13333333,0.00000000,0.39808917,0.36306000,0.25117161,0.15923567
7.20000000,0.00000000,0.39556962,0.36053317,0.24879085,0.15822785
7.26666667,0.00000000,0.39308176,0.35803970,0.24644746,0.15723270
7.33333333,0.00000000,0.39062500,0.35557895,0.24414063,0.15625000
7.40000000,0.00000000,0.38819876,0.35315028,0.24186956,0.15527950
7.46666667,0.00000000,0.38580247,0.35075309,0.23963349,0.15432099
7.53333333,0.00000000,0.38343558,0.34838677,0.23743165,0.15337423
7.60000000,0.00000000,0.38109756,0.34605074,0.23526334,0.15243902
7.66666667,0.00000000,0.37878788,0.34374444,0.23312782,0.15151515
7.73333333,0.00000000,0.37650602,0.34146730,0.23102442,0.15060241
7.80000000,0.00000000,0.37425150,0.33921879,0.22895246,0.14970060
7.86666667,0.00000000,0.37202381,0.33699838,0.22691129,0.14880952
7.93333333,0.00000000,0.36982249,0.33480555,0.22490027,0.14792899
8.00000000,0.00000000,0.36764706,0.33263980,0.22291877,0.14705882
0.00000000,0.01250000,1.25628141,1.00000000,1.00000000,0.50503775
0.06666667,0.01250000,1.23164844,1.00000000,1.00000000,0.49513505
0.13333333,0.01250000,1.20796289,1.00000000,1.00000000,0.48561322
0.20000000,0.01250000,1.18517114,1.00000000,1.00000000,0.47645071
0.26666667,0.01250000,1.16322353,1.00000000,1.00000000,0.46762755
0.33333333,0.01250000,1.14207401,1.00000000,1.00000000,0.45912523
0.40000000,0.01250000,1.12167983,1.00000000,1.00000000,0.45092656
0.46666667,0.01250000,1.10200123,1.00000000,1.00000000,0.44301557
0.53333333,0.01250000,1.08300121,1.00000000,1.00000000,0.43537737
0.60000000,0.01250000,1.06464526,1.00000000,1.00000000,0.42799809
0.66666667,0.01250000,1.04690117,1.00000000,1.00000000,0.42086479
0.73333333,0.01250000,1.02973886,1.00000000,1.00000000,0.41396537
0.80000000,0.01250000,1.01313017,1.00000000,1.00000000,0.40728851
0.86666667,0.01250000,0.99704874,0.99675409,0.99557637,0.40082361
0.93333333,0.01250000,0.98146985,0.97963583,0.97233394,0.39456074
1.00000000,0.01250000,0.96637031,0.96307018,0.94998199,0.38849058
1.06666667,0.01250000,0.95172834,0.94703123,0.92847348,0.38260436
1.13333333,0.01250000,0.93752344,0.93149461,0.90776451,0.37689384
1.20000000,0.01250000,0.92373633,0.91643745,0.88781410,0.37135129
1.26666667,0.01250000,0.91034885,0.90183821,0.86858389,0.36596939
1.33333333,0.01250000,0.89734386,0.88767663,0.85003801,0.36074125
1.40000000,0.01250000,0.88470522,0.87393362,0.83214284,0.35566039
1.46666667,0.01250000,0.87241764,0.86059117,0.81486687,0.35072066
1.53333333,0.01250000,0.86046672,0.84763227,0.79818050,0.34591627
1.60000000,0.01250000,0.84883879,0.83504088,0.78205595,0.34124172
1.66666667,0.01250000,0.83752094,0.82280181,0.76646709,0.33669183
1.73333333,0.01250000,0.82650093,0.81090071,0.75138932,0.33226168
1.80000000,0.01250000,0.81576715,0.79932396,0.73679949,0.32794659
1.86666667,0.01250000,0.80530859,0.78805870,0.72267578,0.32374215
1.93333333,0.01250000,0.79511481,0.77709270,0.70899760,0.31964415
2.00000000,0.01250000,0.78517588,0.76641438,0.69574553,0.31564859
2.06666667,0.01250000,0.77548235,0.75601273,0.68290120,0.31175170
2.13333333,0.01250000,0.76602525,0.74587730,0.67044727,0.30794985
2.20000000,0.01250000,0.75679603,0.73599816,0.65836732,0.30423961
2.26666667,0.01250000,0.74778655,0.72636585,0.64664582,0.30061771
2.33333333,0.01250000,0.73898906,0.71697137,0.63526805,0.29708103
2.40000000,0.01250000,0.73039617,0.70780615,0.62422007,0.29362660
2.46666667,0.01250000,0.72200081,0.69886204,0.61348864,0.29025158
2.53333333,0.01250000,0.71379625,0.69013125,0.60306121,0.28695327
2.60000000,0.01250000,0.70577607,0.68160634,0.59292586,0.28372907
2.66666667,0.01250000,0.69793412,0.67328024,0.58307127,0.28057653
2.73333333,0.01250000,0.69026451,0.66514618,0.57348666,0.27749327
2.80000000,0.01250000,0.68276163,0.65719768,0.56416178,0.27447704
2.86666667,0.01250000,0.67542011,0.64942856,0.55508691,0.27152567
2.93333333,0.01250000,0.66823479,0.64183292,0.54625274,0.26863710
3.00000000,0.01250000,0.66120074,0.63440510,0.53765043,0.26580934
3.06666667,0.01250000,0.65431323,0.62713967,0.52927156,0.26304050
3.13333333,0.01250000,0.64756774,0.62003146,0.52110808,0.26032874
